
Dashboard: http://127.0.0.1:8888

 * Serving Flask app 'hr_dashboard_v2'
 * Debug mode: off
[ADB] Spojen na 192.168.1.222:5555 - slusam logcat (ignorisem linije starije od 120s)...
[16:48:25]  Puls: 90 bpm  (watch_ts=1779893304, age=0s)
[16:48:34]  Puls: 91 bpm  (watch_ts=1779893313, age=0s)
[16:48:37]  Puls: 90 bpm  (watch_ts=1779893316, age=0s)
[16:48:43]  Puls: 91 bpm  (watch_ts=1779893322, age=0s)
[16:48:48]  Puls: 92 bpm  (watch_ts=1779893327, age=0s)
[16:48:48]  Puls: 93 bpm  (watch_ts=1779893328, age=1s)
[16:48:49]  Puls: 94 bpm  (watch_ts=1779893329, age=1s)
[16:48:50]  Puls: 96 bpm  (watch_ts=1779893330, age=1s)
[16:48:51]  Puls: 98 bpm  (watch_ts=1779893331, age=1s)
[16:48:55]  Puls: 98 bpm  (watch_ts=1779893335, age=1s)
[16:49:09]  Puls: 83 bpm  (watch_ts=1779893348, age=1s)
[16:49:11]  Puls: 82 bpm  (watch_ts=1779893350, age=1s)
[16:49:13]  Puls: 81 bpm  (watch_ts=1779893352, age=1s)
[16:49:14]  Puls: 82 bpm  (watch_ts=1779893354, age=1s)
[16:49:16]  Puls: 87 bpm  (watch_ts=1779893356, age=1s)
[16:50:43]  Puls: 91 bpm  (watch_ts=1779893442, age=0s)
[16:50:46]  Puls: 90 bpm  (watch_ts=1779893445, age=1s)
[16:50:51]  Puls: 88 bpm  (watch_ts=1779893451, age=1s)
[16:50:53]  Puls: 87 bpm  (watch_ts=1779893452, age=0s)
[16:50:53]  Puls: 86 bpm  (watch_ts=1779893453, age=1s)
[16:50:58]  Puls: 87 bpm  (watch_ts=1779893457, age=0s)
[16:50:59]  Puls: 86 bpm  (watch_ts=1779893459, age=1s)
[16:51:03]  Puls: 84 bpm  (watch_ts=1779893462, age=0s)
[16:51:06]  Puls: 83 bpm  (watch_ts=1779893465, age=1s)
[16:51:07]  Puls: 84 bpm  (watch_ts=1779893467, age=1s)
[16:51:09]  Puls: 85 bpm  (watch_ts=1779893468, age=0s)
[16:51:10]  Puls: 86 bpm  (watch_ts=1779893469, age=1s)
[16:51:15]  Puls: 85 bpm  (watch_ts=1779893474, age=0s)
[16:51:17]  Puls: 84 bpm  (watch_ts=1779893476, age=0s)
[16:51:18]  Puls: 83 bpm  (watch_ts=1779893478, age=-0s)
[16:51:23]  Puls: 82 bpm  (watch_ts=1779893482, age=1s)
[16:51:26]  Puls: 81 bpm  (watch_ts=1779893485, age=1s)
[16:51:27]  Puls: 80 bpm  (watch_ts=1779893487, age=1s)
[16:51:29]  Puls: 81 bpm  (watch_ts=1779893488, age=0s)
[16:51:31]  Puls: 82 bpm  (watch_ts=1779893490, age=0s)
[16:51:31]  Puls: 83 bpm  (watch_ts=1779893491, age=1s)
[16:51:34]  Puls: 82 bpm  (watch_ts=1779893493, age=0s)
[16:51:35]  Puls: 83 bpm  (watch_ts=1779893494, age=0s)
[16:51:37]  Puls: 84 bpm  (watch_ts=1779893496, age=0s)
[16:51:37]  Puls: 83 bpm  (watch_ts=1779893497, age=1s)
[16:51:45]  Puls: 82 bpm  (watch_ts=1779893504, age=1s)
[16:51:48]  Puls: 81 bpm  (watch_ts=1779893507, age=0s)
[16:51:51]  Puls: 82 bpm  (watch_ts=1779893510, age=0s)
[16:51:51]  Puls: 79 bpm  (watch_ts=0, age=0s)
[16:51:51]  Puls: 83 bpm  (watch_ts=1779893511, age=1s)
[16:51:57]  Puls: 84 bpm  (watch_ts=1779893516, age=0s)
[16:52:03]  Puls: 83 bpm  (watch_ts=1779893522, age=0s)
[16:52:03]  Puls: 86 bpm  (watch_ts=0, age=0s)
[16:52:03]  Puls: 84 bpm  (watch_ts=1779893523, age=1s)
[16:52:05]  Puls: 83 bpm  (watch_ts=1779893524, age=0s)
[16:52:05]  Puls: 82 bpm  (watch_ts=1779893525, age=1s)
[16:52:08]  Puls: 81 bpm  (watch_ts=1779893527, age=0s)
[16:52:11]  Puls: 82 bpm  (watch_ts=1779893530, age=1s)
[16:52:13]  Puls: 83 bpm  (watch_ts=1779893532, age=0s)
[16:52:16]  Puls: 84 bpm  (watch_ts=1779893535, age=0s)
[16:52:19]  Puls: 85 bpm  (watch_ts=1779893538, age=0s)
[16:52:22]  Puls: 84 bpm  (watch_ts=1779893541, age=1s)
[16:52:28]  Puls: 85 bpm  (watch_ts=1779893547, age=0s)
[16:52:29]  Puls: 86 bpm  (watch_ts=1779893549, age=1s)
[16:52:33]  Puls: 87 bpm  (watch_ts=1779893552, age=0s)
[16:52:34]  Puls: 86 bpm  (watch_ts=1779893553, age=1s)
[16:52:37]  Puls: 85 bpm  (watch_ts=1779893556, age=0s)
[16:52:42]  Puls: 86 bpm  (watch_ts=1779893561, age=0s)
[16:52:43]  Puls: 85 bpm  (watch_ts=1779893562, age=0s)
[16:52:43]  Puls: 86 bpm  (watch_ts=1779893563, age=1s)
[16:52:46]  Puls: 85 bpm  (watch_ts=1779893565, age=0s)
[16:52:47]  Puls: 86 bpm  (watch_ts=1779893566, age=0s)
[16:52:49]  Puls: 87 bpm  (watch_ts=1779893568, age=0s)
[16:52:52]  Puls: 88 bpm  (watch_ts=1779893571, age=0s)
[16:52:53]  Puls: 87 bpm  (watch_ts=1779893573, age=1s)
[16:52:57]  Puls: 86 bpm  (watch_ts=1779893576, age=0s)
[16:52:59]  Puls: 87 bpm  (watch_ts=1779893578, age=0s)
[16:53:02]  Puls: 89 bpm  (watch_ts=1779893581, age=0s)
[16:53:07]  Puls: 89 bpm  (watch_ts=1779893587, age=1s)
[16:53:09]  Puls: 90 bpm  (watch_ts=1779893588, age=0s)
[16:53:09]  Puls: 89 bpm  (watch_ts=1779893589, age=1s)
[16:53:11]  Puls: 88 bpm  (watch_ts=1779893590, age=0s)
[16:53:13]  Puls: 89 bpm  (watch_ts=1779893592, age=0s)
[16:53:16]  Puls: 88 bpm  (watch_ts=1779893595, age=1s)
[16:53:17]  Puls: 89 bpm  (watch_ts=1779893597, age=1s)
[16:53:20]  Puls: 90 bpm  (watch_ts=1779893599, age=0s)
[16:53:26]  Puls: 89 bpm  (watch_ts=1779893605, age=0s)
[16:53:29]  Puls: 90 bpm  (watch_ts=1779893608, age=0s)
[16:53:40]  Puls: 89 bpm  (watch_ts=1779893619, age=0s)
[16:53:44]  Puls: 88 bpm  (watch_ts=1779893623, age=0s)
[16:53:45]  Puls: 86 bpm  (watch_ts=1779893624, age=0s)
[16:53:45]  Puls: 85 bpm  (watch_ts=1779893625, age=1s)
[16:53:50]  Puls: 88 bpm  (watch_ts=1779893629, age=0s)
[16:53:51]  Puls: 90 bpm  (watch_ts=1779893630, age=0s)
[16:53:51]  Puls: 91 bpm  (watch_ts=1779893631, age=1s)
[16:53:52]  Puls: 93 bpm  (watch_ts=1779893632, age=-0s)
[16:53:53]  Puls: 94 bpm  (watch_ts=1779893633, age=1s)
[16:53:56]  Puls: 92 bpm  (watch_ts=1779893635, age=1s)
[16:53:57]  Puls: 90 bpm  (watch_ts=1779893637, age=1s)
[16:53:58]  Puls: 89 bpm  (watch_ts=1779893638, age=-0s)
[16:53:59]  Puls: 88 bpm  (watch_ts=1779893639, age=1s)
[16:54:01]  Puls: 87 bpm  (watch_ts=1779893640, age=0s)
[16:54:01]  Puls: 86 bpm  (watch_ts=1779893641, age=1s)
[16:54:03]  Puls: 85 bpm  (watch_ts=1779893642, age=0s)
[16:54:05]  Puls: 84 bpm  (watch_ts=1779893644, age=0s)
[16:54:07]  Puls: 83 bpm  (watch_ts=1779893646, age=0s)
[16:54:11]  Puls: 84 bpm  (watch_ts=1779893650, age=0s)
[16:54:14]  Puls: 83 bpm  (watch_ts=1779893653, age=1s)
[16:54:17]  Puls: 82 bpm  (watch_ts=1779893656, age=0s)
[16:54:19]  Puls: 81 bpm  (watch_ts=1779893658, age=0s)
[16:54:20]  Puls: 82 bpm  (watch_ts=1779893659, age=1s)
[16:54:24]  Puls: 83 bpm  (watch_ts=1779893663, age=0s)
[16:54:25]  Puls: 82 bpm  (watch_ts=1779893664, age=0s)
[16:54:31]  Puls: 83 bpm  (watch_ts=1779893670, age=0s)
[16:54:32]  Puls: 82 bpm  (watch_ts=1779893672, age=-0s)
[16:54:33]  Puls: 83 bpm  (watch_ts=1779893673, age=1s)
[16:54:39]  Puls: 82 bpm  (watch_ts=1779893678, age=0s)
[16:54:44]  Puls: 83 bpm  (watch_ts=1779893683, age=0s)
[16:54:48]  Puls: 84 bpm  (watch_ts=1779893687, age=0s)
[16:54:49]  Puls: 83 bpm  (watch_ts=1779893688, age=0s)
[16:54:54]  Puls: 82 bpm  (watch_ts=1779893693, age=0s)
[16:54:55]  Puls: 83 bpm  (watch_ts=1779893695, age=1s)
[16:54:59]  Puls: 82 bpm  (watch_ts=1779893698, age=0s)
[16:55:04]  Puls: 83 bpm  (watch_ts=1779893703, age=0s)
[16:55:07]  Puls: 84 bpm  (watch_ts=1779893706, age=0s)
[16:55:07]  Puls: 83 bpm  (watch_ts=1779893707, age=1s)
[16:55:10]  Puls: 84 bpm  (watch_ts=1779893709, age=0s)
[16:55:14]  Puls: 83 bpm  (watch_ts=1779893713, age=0s)
[16:55:15]  Puls: 84 bpm  (watch_ts=1779893714, age=0s)
[16:55:19]  Puls: 83 bpm  (watch_ts=1779893718, age=0s)
[16:55:23]  Puls: 84 bpm  (watch_ts=1779893722, age=0s)
[16:55:23]  Puls: 83 bpm  (watch_ts=1779893723, age=1s)
[16:55:23]  Puls: 79 bpm  (watch_ts=0, age=1s)
[16:55:26]  Puls: 84 bpm  (watch_ts=1779893725, age=0s)
[16:55:29]  Puls: 83 bpm  (watch_ts=1779893728, age=0s)
[16:55:37]  Puls: 84 bpm  (watch_ts=1779893736, age=0s)
[16:55:54]  Puls: 87 bpm  (watch_ts=1779893753, age=0s)
[16:55:55]  Puls: 88 bpm  (watch_ts=1779893754, age=0s)
[16:55:56]  Puls: 90 bpm  (watch_ts=1779893755, age=1s)
[16:55:58]  Puls: 91 bpm  (watch_ts=1779893757, age=0s)
[16:56:02]  Puls: 92 bpm  (watch_ts=1779893761, age=0s)
[16:56:03]  Puls: 93 bpm  (watch_ts=1779893763, age=1s)
